Model,MDO3104
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,-2.18e-05,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,500
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,250
Vertical Position,-0.66,-0.66
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.173000e-04,0.0125,6.36719
-1.172800e-04,0.0101562,8.86719
-1.172600e-04,0.0154688,6.21094
-1.172400e-04,0.00953125,6.91406
-1.172200e-04,0.0128125,5.70312
-1.172000e-04,0.0175,7.42188
-1.171800e-04,0.0259375,6.52344
-1.171600e-04,0.0135938,6.09375
-1.171400e-04,0.0128125,6.64062
-1.171200e-04,0.015625,3.51562
-1.171000e-04,0.0153125,6.25
-1.170800e-04,0.01125,7.10938
-1.170600e-04,0.01625,6.95312
-1.170400e-04,0.0120313,5.27344
-1.170200e-04,0.0182813,6.60156
-1.170000e-04,0.0146875,5.46875
-1.169800e-04,0.015,7.03125
-1.169600e-04,0.01375,7.10938
-1.169400e-04,0.0084375,6.44531
-1.169200e-04,0.0142188,5.42969
-1.169000e-04,0.00921875,5.78125
-1.168800e-04,0.015625,9.02344
-1.168600e-04,0.01125,9.10156
-1.168400e-04,0.0104688,6.83594
-1.168200e-04,0.0139063,5.35156
-1.168000e-04,0.0096875,5.35156
-1.167800e-04,0.0117188,6.32812
-1.167600e-04,0.019375,6.01562
-1.167400e-04,0.0146875,8.51562
-1.167200e-04,0.0157812,7.77344
-1.167000e-04,0.0179687,6.44531
-1.166800e-04,0.01875,5.27344
-1.166600e-04,0.0157812,5.03906
-1.166400e-04,0.01375,5.66406
-1.166200e-04,0.00953125,4.6875
-1.166000e-04,0.0175,5.78125
-1.165800e-04,0.013125,7.57812
-1.165600e-04,0.0115625,6.99219
-1.165400e-04,0.0109375,5.27344
-1.165200e-04,0.0084375,6.21094
-1.165000e-04,0.0160938,5.19531
-1.164800e-04,0.0151562,5.9375
-1.164600e-04,0.0139063,5.85938
-1.164400e-04,0.0154688,8.28125
-1.164200e-04,0.011875,5.82031
-1.164000e-04,0.01625,6.25
-1.163800e-04,0.0185937,7.85156
-1.163600e-04,0.00890625,5.625
-1.163400e-04,0.0084375,5.58594
-1.163200e-04,0.0101562,7.8125
-1.163000e-04,0.0135938,6.83594
-1.162800e-04,0.00734375,5.23438
-1.162600e-04,0.0109375,5.54688
-1.162400e-04,0.0145312,6.09375
-1.162200e-04,0.0101562,3.86719
-1.162000e-04,0.008125,8.00781
-1.161800e-04,0.0115625,8.00781
-1.161600e-04,0.0148438,5.07812
-1.161400e-04,0.0084375,5.15625
-1.161200e-04,0.0148438,7.07031
-1.161000e-04,0.0178125,6.5625
-1.160800e-04,0.0115625,5.46875
-1.160600e-04,0.00640625,3.04688
-1.160400e-04,0.019375,7.5
-1.160200e-04,0.0176563,8.08594
-1.160000e-04,0.0157812,4.0625
-1.159800e-04,0.01375,6.75781
-1.159600e-04,0.015,5.78125
-1.159400e-04,0.0132813,5.27344
-1.159200e-04,0.0195312,6.75781
-1.159000e-04,0.020625,5.03906
-1.158800e-04,0.0160938,8.35938
-1.158600e-04,0.0125,2.61719
-1.158400e-04,0.0075,5.9375
-1.158200e-04,0.0084375,5.27344
-1.158000e-04,0.0142188,7.53906
-1.157800e-04,0.0134375,6.13281
-1.157600e-04,0.006875,8.78906
-1.157400e-04,0.0140625,7.42188
-1.157200e-04,0.0139063,8.125
-1.157000e-04,0.026875,3.55469
-1.156800e-04,0.0179687,5.35156
-1.156600e-04,0.0123437,6.60156
-1.156400e-04,0.0148438,5.74219
-1.156200e-04,0.0126563,6.09375
-1.156000e-04,0.01625,8.71094
-1.155800e-04,0.01125,6.71875
-1.155600e-04,0.0123437,8.55469
